text,topic
"Giant's have a five man rotation of  John Burkett, Trevor Wilson,
Bill Swift, Jeff Brantley, and Bud Black/Dave Burba.  Black has
been put on the 15 day disables and Dave Burba will take his starts.

",sports
"I have noticed that this year has had a lot of high scoring games (at least the
NL has).  I believe one reason are the expansion teams.  Any thoughts?",sports
"
Bob, I think that Stark does this sort of thing as a joke, not as a
serious prediction.  I don't really see why we should shoot him for
that.  The guys who ought to be shot are the ones who keep claiming
how great the Royals' chances are in the AL West, since all evidence
indicates that they aren't joking and actually believe it.",sports
"They 
three 
more 
division.

Jason, I am going to a yankee game wed night at cleveland stadium. I am so  
happy.


But Cleveland is a very bad team who lost severalrs. They were an up and  
coming team, now they are just a sad excuse for a better average.

",sports
"[about the infield fly rule]
	Unless he's Deion Sanders, in which case he just heads back to the
dugout and waits for his next base-running-blunder opportunity.",sports
"Hank Greenberg was probably the greatest ever.  He was also subject to a
lot of heckling from bigots on the opposing teams and in the stands, but
it never seemed to affect his performance negatively.",sports
"Has anyone heard anything about Mel Hall this season?  I'd heard he wasn't
with the Yankees any more.  What happened to him?

				Doug Dolven",sports
"
	This list brings to mind possible the worst trade since Babe for
	NONO NANNETTE, i.e., Milt Pappas for Frank Robinson, I think in
	1965 ?. Robinson proceeded to win the triple crown in 1966 and
	may have beaten out Yaz in '67 but was injured on a slide into 
	second when he collided with the mighty Al Weis (Chisox). ",sports
"
Hrm. Sandy Alomar, 24 year old rookie: 132 games, .290/.326/.418. Threw
out a few baserunners. Benito Santiago, 22 year old rookie: 146 games,
.300/.324/.467. He threw out a few baserunners, too. Ivan Rodriguez,
*20* year old rookies: 88 games, .264/.276/.354. Didn't exactly suck
behind the plate.


True. Which only makes it more important to realize when you have one of the
few. Lopez' season last year, adjusted to major league equivalencies, was
.306/.330/.472, 15 HRs. How bad does he have to be behind the plate for that
to not be better than Olson's .238/.316/.328?

 Mike Jones | AIX High-End Development | mjones@donald.aix.kingston.ibm.com",sports
"


Not the first.  RFK, olim DC Stadium, was built 2 years earlier.
Nowadays they don't move the seats back for the few exhibition
games; but the 3rd-base/LF lower deck used to move.  It was all 
metal, which was pretty noisy on Bat Day.


It's vastly better than it was before they fixed it, though.  Back in
the late 70's it was a *dump*.",sports
"
From where I come from in Canada, Borshevsky sounds more Canadian than
Smith! -)

Anyways, crawl back into the hole you crawled out of...the NBA doesn't
care where they get basketball players from, major league baseball
doesn't give a damn where they get baseball players from (except Cuba,
that is).

Canada is in no imminent danger of being overtaken as the primary 
supplier of players...Sweden, Finland, the Czech Republic, and Slovakia
are all relatively small countries, and cannot really produce players
at a greater rate than they are already producing them, and the
potential influx from the former Soviet Union is severely blunted
because the system has been raided and is starved for finances and
will take a decade or two, to recover and become a real threat, and
the US will just maintain its slow increase.  Canada should continue
to supply 60% plus of the top hockey players in the world for the
forseeable future.

Besides we need the European hockey market if hockey is to take
its rightful place besides soccer as the two predominant world
sports...and since soccer is essentially boring, unlike hockey.


Canadians are under no threat...the European numbers will soon saturate,
if they haven't already...and by the time Russia comes online again,
the NHL should be a world league, and there will be many more teams
to stock and many more jobs for Canadian hockey players.  In the near
team, the percentage of Canadians will mostly decline because of 
Americans, not because of Europeans.


Crawl into a hole and die...   
",sports
"
I haven't seen enough Royals' games to judge his tactics, so you may have
a point here.  But:


IMO, the Royals don't have a chance to win the pennant even if McRae
suddenly began channeling for John McGraw.  OK, they have some decent
pitchers.  But when your offense consists of bums like Gagne and Lind
and McReynolds and McRae and an over-the-hill Brett, you're not going
to finish .500 unless McGraw brings Christy Mathewson back with him.

I'd say it is hard to evaluate a manager when all of his hitters suck.",sports
": It is meaningless to compare one player's plus/minus statistic with
: another players' out of the context of the role and the playing time
: of the players involved.    

: To compare Jagr's and Francis's plus/minus is ridiculous and absurd...

: Gerald

Thank you for putting this in perspective!
",sports
"I haven't been following the previous HR's.  But there are two, that I saw
live that would have to be up there (up where? there!).  
1) Rick Monday's HR to bury the Expos in the NL championship in 1981.
It was hit off Steve Rogers, who is a RHP and primarily a starter.
Why was he used as a reliever when the 'Spos had Reardon and BillLee
warming up in the bullpen.  Considering Monday couldn't touch LHP,
Lee would have been a safe bet.  He wasn't even doing any drugs at that
time (or so he told me and around 50 others on a recent venture into 
Montreal.  The blast wasn't the important aspect.  It was the timing.
Seventh game, a tie game, and in the top of the 9th.  The Expos almost
came back though...
2) Mike Schmidt hit one that killed the Expos in 1980.  So close, yet, so
far.
and
3) Strawberry killed a pitch on the second day of the season a couple of
years ago.  It went off the technical ring in the Big O.  It almost left
the stadium!  That was hit HARD!!!
				CorelMARK! 
",sports
": You should be ashamed to call yourself an Ulf Samuelson fan. Anybody who plays
: the way he does, does not belong in the NHL. There have been cheap shot artists
: through the history of the game, but a lot of them have been talanted players.
: Bobby Clarke, Kenny Linsemen, Pie McKenzie, Chris Chelios etc.. but nobody has been
: out right as dirty a cheapshot coward as Ulf. Violence in hockey has got to be curbed
: and players like (Should have been a Women) Samuelson don't belong. When players
: like Ulf, who's main purpose is to injure the better players in the league is allowed
: to continue, and the league won't stop it, the players should. A Christian Pro 1000
: aluminum stick directed at his ugly head should do the trick nicely. If the Bruins get
: a chance to meet Pittsburgh in the near future, you can bet Neely will have his day.
: The sight of watching Ulf turtle up like the coward he is, is worth almost as much as a
: Stanely Cup. This wimp of a player almost ruined the career of one the best right wingers
: in the game. If you are to remove Ulf Samuelson from the lineup, the Penguins would not
: even notice he's gone. He's an eyesore on the game of hockey.


: Rich


Thank you for your extremely lucid and well thought out observation.
Now when you get back on your medication, please let us know how you
are feeling. 
Thank you,",sports
"

Sorry, but it is *virtually* impossible to win a division with ""no talent""
over 162 games.

I would amend your definition to:

underdog:  a team expected to lose, but which wins thanks to underestimated
           talent.",sports
"
BRING BACK HARRY!  (NEALE)  At least he was witty...
",sports
"Can someone send me ticket ordering information for the
following teams:  Baltimore, Philadelphia and Boston.

Also, if you have a home schedule available - can you tell me the dates
for all home games between July26-Aug6 and between Aug30-Sept10 and if
any of these games are promotion nights or special discount nights?

Thanks !!!  Ron

PS: and also who the opponents are for these games :-)

Do NOT reply to this account,
please reply to:  ronc@vnet.ibm.com",sports
"
This list is published every week in Baseball Weekly.
-- 
------------------------------------------------------------------------------
Brian Curran                 Mead Data Central              brian@meaddata.com ",sports
"
Wales Conference, Adams Division, Semifinal

I'm hoping for a Fuhr miracle, but I agree that Boston will likely win the
series.  Goaltending is about equal, top offensive players are about equal
(Mogilny-LaFontaine vs. Oates-Juneau), but Buffalo has no answer to Neely
(not to imply that Neely is not a top offensive player btw, in fact he's one
of my favourites even though he's a damn Bruin :) ).  And the rest of the
matchup wrt lineup favours Boston anyway.  But I think it will go six.


Agreed here...but Montreal will be pushed to the limit.  Is it just me, or
does everything Montreal does in the playoffs come down to Roy?  Go Habs!!

Final

I can't predict a Montreal victory because I've been watching them play for
6 weeks and IMO they severly need some tougher players, especially to play
in the Garden.  Last time they beat the B's 5-2 but Boston had a clear
territorial advantage; the victory was Roy's.  At the same time, I can't
bring myself to predict the possibility of a loss, so I'll just say I will
not be putting money on this series. :-)



Agreed.  NY doesn't have the goaltending to stop the onslaught, independent
of the trouble they have given Pittsburgh this year.  Pens in five, which is
credit to NY.


Agreed here too, but I think it will go at least six.  Jersey has a decent
team, and Washington has done poorly against the division this year.


I think they will use Tabaracci more after Beaupre gets shelled.  I don't
think it will go six either...*maybe* five.


If Pittsburgh plays Boston, IMO they win in likely five, possibly six.  They
own the Bruins.  If they play Montreal, I think it will go to seven, and once
again I won't be putting money on the seventh game.  I say seven because the
Habs have played Pittsburgh very tough this season.



Chicago will win, but I think in at least six.  Chicago is not that good,
IMO.  And remember that they take ridiculous numbers of penalties.


Very true.  The Leafs have much to be proud of, but they will soon find out
why Montreal did so lousy in the playoffs.  Toronto might win two or three 
at MLG though.  Wings in six, maybe even seven.


It _will_ be a war...possibly the most intense playoff series of them all. 
And yes, I think Detroit will win.  Probert will have to come up big though.



Our first disagreement.  Canucks are playing like shit.  They don't use their
size *at* *all*, which may explain why they get hammered 8-1 by a team
chasing them (Calgary)....Winnipeg in six.


This is also tough for me to call, because I haven't seen the Smythe enough. 
I don't think Roberts will be well enough to figure in, Coffey is a
non-issue, who cares what Carson has done before, and *never* underestimate
Gretzky.  LA in six.


If it is these two, Calgary will not need six games.  But I think it will be
LA-Winnipeg anyway, and LA in seven, because of home ice.


Wow, must've been tough to go against your team.  But let's see, I picked
LA-Detroit.  Detroit will win, probably in six.


If Pittsburgh plays Detroit, it will go longer than five, and I wouldn't bet
against the Wings.  They are very strong, IMO, and nobody knows *how* strong
because they've been underachieving most of the year.  If forced to choose,
though, I'd have to take the Penguins.

A side note.  Vlad, last week you said that Selanne was a better player than
Gilmour.  NO WAY.  He is a more talented pure goal scorer...but aside from
the age difference, there is no way I would take him over Gilmour on my team.
I'm not asking for flames, either, btw....I've spent more than enough time
arguing on behalf of Selanne and I still say he's a great player.  But while
he and Gilmour are both dangerous offensively (give Teemu an edge),
Gilmour *does* *it* *all*.  I know a lot of Gilmour-bashing goes on, esp.
from Flame fans.  But IMO you guys are letting your dislike of Gilmour cloud
your judgement when it comes to his skill.  He is easily one of the best
all-round players in the NHL.

",sports
"Actually Alomar is a two-time gold-glover (91-92).
",sports
"
",sports
"} >I'd have to say the most impressive HRs I've ever see came from Dave Kingman
} >and his infamous moon-raker drives...
} 
} I remember one he hit circa 1976 at Wrigley Field that went across
} the street (in dead center field) and hit a house on the roof.  He
} whiffed a lot, but when he *did* connect, watch out!

the best home run i have *ever* seen came off, believe it or not,
Roger Clemens (sorry, Val) a couple of years ago. he threw a ball to
Incaviglia which was literally at Inky's neck, and he absolutely 
hammered the crap out of it. after the swing, Clemens nonchalantly
motioned for a new ball--he didn't even turn around to look, or
even get upset. the ball hit the lights in the left-field standard,
some 70 or so feet about the Green Monster (over 100 feet above the
ground total!)

truly an amazing shot.",sports
"
Up to this point, I really thought this had been written by a 
pro-SDCN, anti-mediot poster blessed with a certain talent for
sarcasm and biting remarks.  Somebody like me, for instance.
The lurid overstatements were obviously intended to humiliate the
original poster.


But then the scales were lifted from my eyes.  Looks like Robert is
really being serious.  Oh, well.

I compare the performance of the 1992 Phillies with the 1987 edition,
which had outstanding run producers at every position except SS, yet
finished at a frustrating sub-.500 level.  The 1987 folks didn't 
ever amount to anything, and neither will the 1992 squad, IMHO.

Any other parallels with previous years' teams for this year's
editions (in the style of 1993 Braves = 1971 Orioles)?
-- 
Greg ""Mockingbird"" Franklin   ""Interracial mixing encompasses a lot lot more
f67709907@ccit.arizona.edu      than mingling between G7 races."" -- robohen",sports
"
I re-read what I wrote and it didn't say exactly what I thought.  

Sure the Pens are a better team.  They've got size and the best skill players
in the league.  They've also got the best clutch goaltending.  They're the 
best team in the league.

But, my point was the Caps have not played to their ability level vs the
Pens since last year's choke.  And that's the mental problem (the one they've
had for a number of years) I tried to point out.  Spirit, mental preparedness,
will to win, whatever you want to call it, it's missing when the Caps play the
Pens.  Actually, you're right - it won't make any difference.",sports
"



I hear ya, brother.

        ^^^^^^^^^^^^^^^^^^

Let's try WEEKS! It is April 18th today and I just finished reading posts
regarding the Cleveland Indians boating tragedy. Needless to say, I don't want
to read partial linescores of games played 3 weeks ago.

As Charles mentioned (I excluded the quote): Join a mailing list if you want to
woof (I consider entering 4th inning scores as woofing). Thank you. Now to
plug on and read the rest of the posts about spring training...

 _____________________________________________________________________________
     Jim Savoy          University Of Lethbridge         savoy@hg.uleth.ca",sports
"


 on

How many players of international class an average NHL team has. 6-10?
Top players just play more in smaller rinks. Is the quality of European hockey
really poor, then recent years only few north-american (usually good farm 
players) players have got place in Finnish league or Elitserien, while most 
have been shipped back. ",sports
"
I thought the red light went on...thus, in the review, the presumption
would be to find conclusive evidence that the puck did not go in the
net...from the replays I say, even from the rear, the evidence wasn't
conclusive that the puck was in or out...in my opinion...",sports
"
 
Hm, do you think Dusseldorf fans would like it if their team joined the NHL?
Or do we have to include Koln as well (Cologne to you Anglophiles) to make 
them happy?:-)
 ",sports
"OK, I'm sure that this has been asked 100's of times before, but I
have wondered since I heard it...  Where the hell did the nickname
of the ""Habs"" come from for the Montreal Canadiens?",sports
"Actually, there can be any number of players on a side. You can
have a 25-man roster, a 40-man roster, etc....

Ryan Robbins
Penobscot Hall
University of Maine",sports
"
Both protests would be denied, of course.  The umpire's judgement
determines the garbage thing, although I think the game should be
called (but that's my personal opinion...doesn't matter).  There
is time only when the ump says, so the second argument is baseless.
",sports
"Here is yet another prediction for them great playoffs!
(you may laugh at your convenience!) :)

	Adams Division (I hate the NE (name) divisoin!!!)

BOS vs BUF   BOS in 5  (the B's are hot lately!)

MON vs QUE   MON in 7  (This will be the series to watch in the first round!)


BOS vs MON   MON in 7  (this may be a bit biased but I feel the Canadiens will
		       (smarten up and start playing they played two months ago
			( i.e. bench Savard !!!)
	Patrick Division 

PIT vs NJD   PIT in 6  (It wont be a complete cake walk... there be a few lumps
			(in the cake batter!)

WAS vs NYI   WAS in 6  	(This will not be an exciting series..IMO)


PITT vs WAS  PIT in 4   (Washington will be tired after the NYI)

	Norris Division

CHI vs StL    CHI in 5   (StL will get a lucky game in)

TOR vs DET    TOR in 7   (THis , like MON vs QUE, will be another intense 
			 (series to watch!)

CHI vs TOR    TOR in 7   (Potvin will be settling in nicely by this point.)

	Smythe Division

VAN vs WIN     VAN in 5  (Teemu is great, but Vancouver better as a team!)

CAL vs LAK     CAL in 6  (Gretzky is great, but Calgary has been on fire lately)
				...sorry for the pun... um, no I am not! :)

VAN vs CAL     VAN in 6  (This will be a great series! but VAN has proven they
			 (Will not lie down and get beat!)

	Wales Conference finals

Pittsburgh vs Montreal    	Montreal in 6 (Montreal IMHO is the only team
					      (that has a chance against 
						Pittsburgh.)

	Campbell Conference finals

Vancouver vs Toronto		Toronto in 6  (Potvin will be series MVP)


	STANLEY CUP FINALS  

Toronto Maple Leafs    vs    Montreal Canadiens    
	(The Classic Stanley Cup Final matchup!!) <---also a dream come true!

	Montreal wins the Stanley cup in the 7th game 1 - 0 in double overtime.
Roy and Potvin are spectacular throughout the series and share series MVP (if 
that is possible) Vincent Damphouse nets game winner from a brilliant pass by
Brian Bellows! Canadiens star(?) Denis Savard watched his buddies play from the
owners box nursing that splinter on his thumb which has left him on the 
disabled list since the first game of the playoffs (awww shucks). 

***************************************YEE HAA!!*******************************
*poof* And I wake up :)
Well that is my predictions...I hope and dream they come true. and you can stop
laughing anytime :)",sports
"
I've been saying that for at least 2 years now and even the A's conditioning
guru told Jose he was carrying too much weight and losing some would help
his back.Although I don't for one second believe Jose used steroids,his
back problems are very similar to problems alot of steroid users experience
because they are simply carrying too much weight on their frame(see Jeff
Bregel ex 49er as a textbook example), and IMHO Jose is too big for his
frame.



I can't imagine how to estimate bat speed, but its pretty obvious that
Jose is missing fastballs he used to hit, likely due to his back.



I don't know, he had an even more open stance when he first came up with
the A's, and had no problems with it then. It might be that pre-back
problems, he was quick enough to cover up any deficiencies the stance
caused, but now he's lost just enough bat speed that the stance hurts
him. The old saying if you're hot its a trigger mechanism, if you're
cold, its a hitch. 


The biggest problem IMHO is he never has found a stance he's comfortable
with for more than a few months. He changes his stance so much, he loses
track of where the strike zone is. In Wednesday's night game, he was 
clearly mad at strike calls on both corners that looked pretty good to
me. I think he no longer knows where the strike zone really is because
he's changed his stance so much.

I'm also a bit concerned that because he's got Palmer and Gonzalez hitting
all the homeruns, he'll become competitive, swing even harder and screw
himself up even worse. LaRussa always said that Canseco's famous batting
practice homer shows did him more harm than good as they encouraged
bad hitting habits.


",sports
"Tigers' manager Sparky Anderson gets his 2,000th career win as moments ago,
the Tigers completed a two game sweep over the Oakland A's at Tiger Stadium
by beating the A's 3-2. Here are the highlights:


				R    H   E    
             Oakland		2    9   0
	     Detroit            3    7   1

Chad Krueter scored Skeeter Barnes from 1st with an RBI double in the 
bottom of the ninth against none other than Dennis Eckersley to give the
Tigers the victory.  Barnes also had an RBI single to score Thurmond to
tie the score in the ninth, also off Eckersley (sp?).

The A's got their runs on an RBI single by McGwire in the 1st and a solo
homer by Reuben Sierra in the 6th.  Deer doubled home Kirk Gibson in the
7th for the other Tiger run.

John Doherty pitched another strong game for the Tigers, once again lasting
through the seventh inning.  He was relieved by Bolton and then David Haas
in the 8th, and Haas got the win.  Bobby Witt started for the A's, and was
replaced by Honeycutt in the 6th, followed by Goose Gossage in the 8th, and
finally Eckersly in the 9th.  Doherty gave up both of the A's runs, while
Witt gave up the first Tiger run and Eckerseley gave up the last two.

In the post game interview (on WJR radio in Detroit), Sparky Anderson said
its one of the few times he's gotten emotional in his managing career.  It
was a big moment for him, and I'm sure all of us Tiger fans are unanimously
very happy for him.  And what a way to get number 2,000!.

Considering the circumstances, I think it might be appropriate to say:

                WOOF!      Go Tigers!",sports
"

[stuff deleted...]

  
As I recall, the author of the _original_ article that started the thread
claimed that he disliked the changing of the names for a variety of reasons. 
Roger, on one front you flamed him rather severely on the grounds that his
was a ""jingoistic rant"", but you also supported the name-changing on the
grounds that the current names are inappropriate because of the individuals
they represent. FWIW, I do not think the flaming was warranted, nor do I 
think you enhanced what credibility you have with it at all.  Just an 
observation...

However, that aside, the real question is whether you like the idea of
changing the names based on the reasons given for it (making it easier for
the 'casual fan'), or whether you like the idea of unique divisional names
based on individuals who do deserve the honour.  IMO, the latter is a nice
and unique touch that differs from other sports.  In addition, I do not
think that changing divisional names will have an effect on the number of
people that are interested in hockey, so it's a pointless exercise anyway.

If the current names are inappropriate, then that is a separate issue, not 
central to the original article.  Something to consider additionally is
whether or not players like Orr who 'contributed to the glory of the sport'
would have been able to do so _without_ an organized professional league to
play in.  In this case, honouring builders of the _league_ as opposed to
builders of the _sport_ becomes a chicken-and-egg type question. (although
it was the chicken.....)


Dunno if the Stein comparison is justifiable, since it doesn't look as though
his 'unanimous acceptance' to the Hall will hold up.

",sports
"




Sheesh.  The rumor mill strikes again.  But let's just assume this were true.
My question is this:

What would Montreal give San Jose if the Sharks got first pick and took Daigle?
",sports
"Was the ABC coverage of the Kings/Flames game supposed to be the
way it was shown in BC with CBC overriding the ABC coverage?  When I flipped
to ABC, it was the same commentators, same commercials even.  My question
is:  Was this the real ABC coverage or did CBC just ""black out"" the 
ABC coverage for its own?


	comment:

	CBC had a great chance for some double headers:  Toronto/Detroit
and Vancouver/Winnipeg, but today they said that the East gets the Leafs
and the West get the Vancouver game.  I thought that they would show them
both.",sports
"hmm - i thought francesca's predictions ALWAYS hovered at or below
 .500, especially in the nfl.  (not counting college football
 bowl day).

he's a nice analyst for explaining past tense, and for mapping out
 what plays teams might do - but for predicting the future, he only
 looks good whne compared to russo.",sports
"It's in the FAQ.

have fun
gak
",sports
"


It seemed pretty conclusive to me.  The puck clearly hit the crossbar
and then came down on the line.  And the announcers, admittedly homers,
kept harping about how they ""must have had a different view upstairs""
because it was obvious to them, and, I would have thought, to anyone who
saw the replay, that the puck didn't go in.  The referee originally 
signalled no goal but the video replay ""judges"" initiated contact with
the referee to claim that a goal was in fact scored.  This, to me, is
unheard of.  Seeing stuff like this happen gives me a bad feeling about
the Leaf chances this year.

cordially, as always,

rm
",sports
,sports
"
Why not?  Brooks Robinson is a defensive liability too, and Ted
Williams is a weak hitter.  Even great players decline as they age.",sports
"
	Being a proud BU alumnus, I'd like to get a list of BU players in 
the NHL so I can keep an eye on their progress. A lot of Terriers are
graduating this year so I hope to see them soon in the NHL. If somebody
could post or send me a list, I'd appreciate it. Please note if the player
graduated from here or not.
",sports
"Anyone who really believes that the Caps can beat
the Pens are kidding themselves.  The Pens may not loose
one game in the playoffs.",sports
"
Hey Valentine, I don't see Boston with any world series rings on their
fingers.  Damn, Morris now has three and probably the Hall of Fame in his 
future.  Therefore, I would have to say Toronto easily made the best 
signing.  And don't tell me Boston will win this year.  They won't 
even be in the top 4 in the division, more like 6th.",sports
"Actually, the way I understand it, it is an octapus.
Apparently, a number of years ago, a fan threw an octapus on
the ice and the announcer said ""Octapi will not occupy the ice""
or something like that, and it's happened ever since.  The fans
cheer those who pick up the dead octapus with their hands, and
boo those who use a shovel.",sports
"
First, I enjoyed reading your post.  Second, I disagree with the Pen's weak
spot being defense and goaltending - for a couple of reasons.  Barrasso has
had a spectacular year - no slow start, consistently sharp, GAA < 3.0, and 
leads the league in wins.  Tommy deserves the Vezina.  Given the lack of 
respect he commands, though, I doubt he will win it.  The other reason 
concerns the Pens' team defense.  They are hovering around 3rd or 4th in the
fewest goals allowed.  That is a big improvement for them, and it indicates
that they are playing better team defense.


We'll see.  It'll be fun.",sports
"The Phillies salvaged their weekend series against the Chicago Cubs
by beating them 11-10 in a wild one at Wrigley Field Sunday
afternoon.  It was the Phils only win in the three game series, and
was the first time the Phillies have lost a series in the young
season.   The Phils jumped to a 6-0 lead in the game thanks to 2
John Kruk 2-run homers and two Wes Chamberlain homers.  However Danny
Jackson, and the Phillies middle relief was unable to hold the lead.
Mitch Williams entered the game with the Phillies leading 8-4,
however Candy Maldonado hit a ninth inning homerun to tie it.  In
the 11th, Dave Hollins hit a three-run shot, his first of the year
to push the Phils ahead to stay.  However, in a shaky bottom of the
11th the Cubs scored 2 runs and had the tying runner on base when
the Cubs pinch hit Randy Myers for Bob Scanlan (they were out of
position players) and Myers bunted into a double play to end the
game.",sports
"A fine 26 year history came to a close tonight, as the Minnesota North Stars, 
or Norm's Stars (whichever you prefer) lost to the Red Wings by a score of
5-3.  The Stars goals were scored by Mike McPhee and Ulf Dahlen, who netted
two including the final one in franchise history, with less than a minute to
play.

Tonight, on the air on the Stars TV telecast, announcer Al Shaver, the voice
of the North Stars, stated basically that he will not follow the team to 
Dallas.  Shaver, when asked by his son (who was doing the broadcast with him),
""What will you do now?"" responded, ""First I'm going to get me a new pair of
slippers.  Then I'm going to sit in my easy chair and watch the world go by.""

Thank you North Stars, and thank you Al Shaver, for 26 years of Minnesota
memories.",sports
"
Also, Alomar got a FAR greater boost from his home park than Baerga did from 
his. And ""six or seven home runs""? Hmm.

So, if you wanted to pick a second baseman to play in Toronto, you'd take 
Alomar. Anywhere else, and you'd probably take Baerga.

Mike",sports
"
The Dodgers after one inning of play have committed one error.  At this rate
they'll have 1,455 errors this season!

Well maybe I'm right this time...

-- 
Warren Usui",sports
"
i'm telling you, sam, three l's.  call up mom and ask.",sports
"I can't believe this, Howe has an ERA in the 80's He is improving!!!

",sports
"




These people were very silly.  Any team that gets to the World Series
can win the World Series, and anybody who ever expects a sweep is
crazy.  If you put the best team in baseball in the Series against
the worst team in baseball, the worst team would win at least a game
most of the time and very well could win the Series, though the odds
would certainly be against them.",sports
